<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.22	00:00:00	156.275	158.073	156.275	157.775	381646	0	20
2024.12.29	00:00:00	157.666	158.064	156.009	157.25	445698	0	20
2025.01.05	00:00:00	157.142	158.868	156.228	157.701	678416	0	20
2025.01.12	00:00:00	157.656	158.187	154.968	156.287	703993	0	20
2025.01.19	00:00:00	156.163	156.744	154.762	155.942	737871	0	20
2025.01.26	00:00:00	155.644	156.241	153.702	155.177	909339	0	20
2025.02.02	00:00:00	154.72	155.878	150.918	151.4	995083	0	20
2025.02.09	00:00:00	151.162	154.793	151.162	152.274	852420	0	20
2025.02.16	00:00:00	152.172	152.376	148.913	149.265	808951	0	20
2025.02.23	00:00:00	149.197	150.979	148.55	150.578	1114718	0	20
2025.03.02	00:00:00	150.63	151.293	146.938	147.999	1432220	0	20
2025.03.09	00:00:00	147.923	149.184	146.53	148.611	1117611	0	20
2025.03.16	00:00:00	148.733	150.14	148.157	149.268	740382	0	20
2025.03.23	00:00:00	149.338	151.204	149.32	149.768	668907	0	20
2025.03.30	00:00:00	149.726	150.477	144.539	146.861	1202321	0	20
2025.04.06	00:00:00	145.445	148.271	142.05	143.427	1766411	0	20
2025.04.13	00:00:00	143.873	144.073	141.602	142.056	990691	0	20
2025.04.20	00:00:00	142.035	144.022	139.875	143.642	848026	0	20
2025.04.27	00:00:00	143.506	145.918	141.909	144.882	722399	0	20
2025.05.04	00:00:00	144.656	146.178	142.344	145.336	717282	0	20
2025.05.11	00:00:00	146.213	148.639	144.908	145.648	764635	0	20
2025.05.18	00:00:00	145.205	145.502	142.411	142.546	783975	0	20
2025.05.25	00:00:00	142.41	146.274	142.101	143.967	699063	0	20
2025.06.01	00:00:00	143.748	145.082	142.364	144.83	734561	0	20
2025.06.08	00:00:00	144.799	145.456	142.78	144.077	719060	0	20
2025.06.15	00:00:00	143.929	146.209	143.644	146.057	642368	0	20
2025.06.22	00:00:00	146.629	148.021	143.744	144.624	730233	0	20
2025.06.29	00:00:00	144.3	145.224	142.673	144.411	592072	0	20
2025.07.06	00:00:00	144.368	147.511	144.215	147.424	472111	0	20
2025.07.13	00:00:00	147.139	149.173	146.838	148.809	445462	0	20
2025.07.20	00:00:00	147.882	148.651	145.843	147.645	524490	0	20
2025.07.27	00:00:00	147.738	150.907	147.281	147.36	644328	0	20
2025.08.03	00:00:00	147.218	148.078	146.607	147.669	591343	0	20
2025.08.10	00:00:00	147.487	148.508	146.204	147.149	499364	0	20
2025.08.17	00:00:00	147.143	148.766	146.565	146.914	407284	0	20
2025.08.24	00:00:00	146.832	148.175	146.652	147.031	416547	0	20
2025.08.31	00:00:00	147.029	149.126	146.77	147.394	509825	0	20
2025.09.07	00:00:00	148.103	148.565	146.296	147.661	440745	0	20
2025.09.14	00:00:00	147.538	148.272	145.47	147.964	489124	0	20
2025.09.21	00:00:00	147.868	149.948	147.449	149.499	391818	0	20
2025.09.28	00:00:00	149.398	149.503	146.578	147.469	460050	0	20
2025.10.05	00:00:00	149.477	153.262	149.028	151.162	562301	0	20
2025.10.12	00:00:00	151.847	152.603	149.367	150.615	639274	0	20
2025.10.19	00:00:00	150.364	153.052	150.263	152.868	473725	0	20
2025.10.26	00:00:00	152.744	154.433	151.527	153.99	482579	0	20
2025.11.02	00:00:00	153.948	154.472	152.809	153.428	394212	0	20
2025.11.09	00:00:00	153.631	155.035	153.387	154.524	462903	0	20
2025.11.16	00:00:00	154.5	157.882	154.405	156.392	614962	0	20
2025.11.23	00:00:00	156.269	157.176	155.641	156.158	596684	0	21
2025.11.30	00:00:00	156.043	156.169	154.332	155.341	494652	0	21
2025.12.07	00:00:00	155.146	156.943	154.888	155.799	467257	0	21
2025.12.14	00:00:00	155.743	157.767	154.381	157.714	504515	0	21
2025.12.21	00:00:00	157.664	157.691	155.544	156.551	343743	0	21
2025.12.28	00:00:00	156.442	156.989	155.732	156.854	287041	0	21
2026.01.04	00:00:00	156.688	158.174	156.104	157.922	446721	0	21
2026.01.11	00:00:00	158.072	159.442	157.505	158.085	456665	0	21
2026.01.18	00:00:00	157.883	159.212	155.603	155.719	534060	0	21
2026.01.25	00:00:00	154.633	155.333	152.08	154.755	818035	0	20
