<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.07.08	00:00:00	146.0	146.966	145.822	146.517	120525	0	20
2025.07.09	00:00:00	146.506	147.17	146.24	146.293	95959	0	20
2025.07.10	00:00:00	146.31	146.775	145.745	146.218	71243	0	20
2025.07.11	00:00:00	146.232	147.511	146.125	147.424	76860	0	20
2025.07.14	00:00:00	147.139	147.769	146.838	147.692	79507	0	20
2025.07.15	00:00:00	147.68	149.012	147.541	148.822	76732	0	20
2025.07.16	00:00:00	148.822	149.173	146.897	147.793	114034	0	20
2025.07.17	00:00:00	147.788	149.077	147.692	148.581	88877	0	20
2025.07.18	00:00:00	148.502	148.875	148.175	148.809	86312	0	20
2025.07.21	00:00:00	147.882	148.651	147.072	147.31	86055	0	20
2025.07.22	00:00:00	147.261	147.936	146.299	146.608	86933	0	20
2025.07.23	00:00:00	146.555	147.203	146.099	146.411	125996	0	20
2025.07.24	00:00:00	146.402	147.015	145.843	146.972	115856	0	20
2025.07.25	00:00:00	146.931	147.93	146.802	147.645	109650	0	20
2025.07.28	00:00:00	147.738	148.568	147.507	148.52	111292	0	20
2025.07.29	00:00:00	148.426	148.798	148.147	148.443	104599	0	20
2025.07.30	00:00:00	148.385	149.523	147.793	149.478	124147	0	20
2025.07.31	00:00:00	149.464	150.832	148.576	150.746	135222	0	20
2025.08.01	00:00:00	150.678	150.907	147.281	147.36	169068	0	20
2025.08.04	00:00:00	147.218	148.078	146.854	147.057	127314	0	20
2025.08.05	00:00:00	147.027	147.825	146.607	147.56	126004	0	20
2025.08.06	00:00:00	147.523	147.875	146.966	147.335	106302	0	20
2025.08.07	00:00:00	147.298	147.701	146.681	147.089	125310	0	20
2025.08.08	00:00:00	146.979	147.892	146.71	147.669	106413	0	20
2025.08.11	00:00:00	147.487	148.241	147.34	148.131	72963	0	20
2025.08.12	00:00:00	148.097	148.508	147.568	147.831	112336	0	20
2025.08.13	00:00:00	147.703	148.157	147.076	147.363	99479	0	20
2025.08.14	00:00:00	147.328	147.956	146.204	147.756	118435	0	20
2025.08.15	00:00:00	147.733	147.856	146.727	147.149	96151	0	20
2025.08.18	00:00:00	147.143	147.974	147.07	147.856	74851	0	20
2025.08.19	00:00:00	147.676	148.102	147.433	147.654	80294	0	20
2025.08.20	00:00:00	147.533	147.806	146.86	147.312	84954	0	20
2025.08.21	00:00:00	147.223	148.395	147.218	148.354	75189	0	20
2025.08.22	00:00:00	148.215	148.766	146.565	146.914	91996	0	20
2025.08.25	00:00:00	146.832	147.928	146.741	147.753	68458	0	20
2025.08.26	00:00:00	147.776	147.897	146.976	147.397	96807	0	20
2025.08.27	00:00:00	147.276	148.175	147.24	147.371	76824	0	20
2025.08.28	00:00:00	147.322	147.478	146.652	146.922	85956	0	20
2025.08.29	00:00:00	146.772	147.397	146.753	147.031	88502	0	20
2025.09.01	00:00:00	147.029	147.363	146.77	147.161	70586	0	20
2025.09.02	00:00:00	147.16	148.935	147.034	148.347	131493	0	20
2025.09.03	00:00:00	148.346	149.126	147.869	148.062	100780	0	20
2025.09.04	00:00:00	148.059	148.768	147.78	148.477	97310	0	20
2025.09.05	00:00:00	148.463	148.507	146.806	147.394	109656	0	20
2025.09.08	00:00:00	148.103	148.565	147.328	147.418	95817	0	20
2025.09.09	00:00:00	147.417	147.507	146.296	147.398	102178	0	20
2025.09.10	00:00:00	147.396	147.639	147.048	147.448	82673	0	20
2025.09.11	00:00:00	147.443	148.173	146.974	147.194	88157	0	20
2025.09.12	00:00:00	147.196	148.062	147.104	147.661	71920	0	20
2025.09.15	00:00:00	147.538	147.754	147.219	147.341	68661	0	20
2025.09.16	00:00:00	147.323	147.528	146.267	146.432	98624	0	20
2025.09.17	00:00:00	146.434	147.037	145.47	146.92	104386	0	20
2025.09.18	00:00:00	146.877	148.255	146.756	147.98	109889	0	20
2025.09.19	00:00:00	147.974	148.272	147.181	147.964	107564	0	20
2025.09.22	00:00:00	147.868	148.364	147.644	147.688	79762	0	20
2025.09.23	00:00:00	147.683	147.915	147.449	147.562	85033	0	20
2025.09.24	00:00:00	147.53	148.905	147.503	148.881	71226	0	20
2025.09.25	00:00:00	148.836	149.918	148.548	149.787	79302	0	20
2025.09.26	00:00:00	149.787	149.948	149.394	149.499	76495	0	20
2025.09.29	00:00:00	149.398	149.503	148.461	148.581	79104	0	20
2025.09.30	00:00:00	148.538	148.836	147.641	147.908	92941	0	20
2025.10.01	00:00:00	147.747	148.215	146.578	147.061	117329	0	20
2025.10.02	00:00:00	147.02	147.505	146.588	147.244	86111	0	20
2025.10.03	00:00:00	147.175	147.806	147.057	147.469	84565	0	20
2025.10.06	00:00:00	149.477	150.467	149.028	150.338	126963	0	20
2025.10.07	00:00:00	150.238	152.033	150.19	151.88	86896	0	20
2025.10.08	00:00:00	151.877	152.988	151.725	152.681	99500	0	20
2025.10.09	00:00:00	152.598	153.221	152.099	153.059	115543	0	20
2025.10.10	00:00:00	152.951	153.262	151.154	151.162	133399	0	20
2025.10.13	00:00:00	151.847	152.438	151.712	152.28	102953	0	20
2025.10.14	00:00:00	152.144	152.603	151.593	151.818	132358	0	20
2025.10.15	00:00:00	151.714	151.861	150.888	151.038	112977	0	20
2025.10.16	00:00:00	151.02	151.388	150.202	150.408	133854	0	20
2025.10.17	00:00:00	150.344	150.627	149.367	150.615	157132	0	20
2025.10.20	00:00:00	150.364	151.19	150.263	150.727	94959	0	20
2025.10.21	00:00:00	150.61	152.166	150.459	151.915	118520	0	20
2025.10.22	00:00:00	151.853	152.035	151.478	151.94	103795	0	20
2025.10.23	00:00:00	151.893	152.787	151.809	152.57	77540	0	20
2025.10.24	00:00:00	152.476	153.052	152.218	152.868	78911	0	20
