combo_id,timeframes,tf_count,regime_detection_tf,htf_alignment_tfs,trades,win_rate,non_loss_rate,profit_factor,net_profit,max_drawdown,sharpe_ratio,annual_return,elapsed_sec
M1+M5+M15+M30+H1+H4+H8+D1,"M1,M5,M15,M30,H1,H4,H8,D1",8,H1,"H4,D1",6901,59.85,75.63,1.82,4334359.0,6.26,4.15,144.48,98.9
H1+H8,"H1,H8",2,H1,"H8,H1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0
H1+D1,"H1,D1",2,H1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.5
H4+H8,"H4,H8",2,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.2
H4+D1,"H4,D1",2,H4,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H8+D1,"H8,D1",2,H8,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+M5+M15,"M1,M5,M15",3,M15,M15,8523,56.1,81.31,2.04,5852875.0,5.78,5.86,195.1,856.7
M1+M5+M30,"M1,M5,M30",3,M30,M30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+M5+H1,"M1,M5,H1",3,H1,H1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+M5+H4,"M1,M5,H4",3,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+M5+H8,"M1,M5,H8",3,H8,H8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+M5+D1,"M1,M5,D1",3,D1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+M15+M30,"M1,M15,M30",3,M30,M30,2518,53.88,83.75,2.45,2261822.0,4.59,4.64,75.39,560.5
M1+M15+H1,"M1,M15,H1",3,H1,H1,7205,58.88,84.89,2.8,6691399.0,4.41,7.12,223.05,903.4
M1+M15+H4,"M1,M15,H4",3,H4,H4,5902,61.41,85.75,3.14,6301550.0,2.78,6.92,210.05,927.6
M1+M15+H8,"M1,M15,H8",3,H8,H8,5154,60.76,84.59,2.9,5038387.0,3.5,6.29,167.95,911.0
M1+M15+D1,"M1,M15,D1",3,D1,D1,4497,57.71,84.09,2.47,3725730.0,3.63,4.9,124.19,972.9
M1+M30+H1,"M1,M30,H1",3,H1,H1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+M30+H4,"M1,M30,H4",3,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+M30+H8,"M1,M30,H8",3,H8,H8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+M30+D1,"M1,M30,D1",3,D1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+H1+H4,"M1,H1,H4",3,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+H1+H8,"M1,H1,H8",3,H1,"H8,H1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+H1+D1,"M1,H1,D1",3,H1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+H4+H8,"M1,H4,H8",3,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+H4+D1,"M1,H4,D1",3,H4,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1+H8+D1,"M1,H8,D1",3,H8,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M5+M15+M30,"M5,M15,M30",3,M30,M30,5005,55.25,85.68,2.88,5973688.0,6.21,6.66,199.12,645.7
M5+M15+H1,"M5,M15,H1",3,H1,H1,9940,62.05,86.45,3.36,10680736.0,2.76,8.88,356.02,642.2
M5+M15+H4,"M5,M15,H4",3,H4,H4,7803,63.27,86.22,3.43,8630187.0,2.56,7.85,287.67,643.9
M5+M15+H8,"M5,M15,H8",3,H8,H8,7240,63.21,86.19,3.26,7540960.0,2.75,7.52,251.37,610.6
M5+M15+D1,"M5,M15,D1",3,D1,D1,6089,59.94,85.26,3.02,6006940.0,3.95,6.46,200.23,270.0
M5+M30+H1,"M5,M30,H1",3,H1,H1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M5+M30+H4,"M5,M30,H4",3,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M5+M30+H8,"M5,M30,H8",3,H8,H8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M5+M30+D1,"M5,M30,D1",3,D1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M5+H1+H4,"M5,H1,H4",3,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M5+H1+H8,"M5,H1,H8",3,H1,"H8,H1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M5+H1+D1,"M5,H1,D1",3,H1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M5+H4+H8,"M5,H4,H8",3,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M5+H4+D1,"M5,H4,D1",3,H4,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M5+H8+D1,"M5,H8,D1",3,H8,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M15+M30+H1,"M15,M30,H1",3,H1,H1,737,67.94,90.56,6.09,1290833.0,1.49,4.13,43.03,290.7
M15+M30+H4,"M15,M30,H4",3,H4,H4,159,68.23,95.05,inf,403313.0,0.78,1.88,13.44,347.5
M15+M30+H8,"M15,M30,H8",3,H8,H8,182,62.29,92.31,5.79,265861.0,0.78,1.69,8.86,327.6
M15+M30+D1,"M15,M30,D1",3,D1,D1,154,61.78,92.57,inf,203934.0,1.52,1.47,6.8,320.2
M15+H1+H4,"M15,H1,H4",3,H1,H4,6440,66.27,89.9,4.99,9547777.0,1.61,9.37,318.26,338.3
M15+H1+H8,"M15,H1,H8",3,H1,"H8,H1",2860,65.78,79.9,2.83,3915780.0,3.41,5.23,130.53,37.1
M15+H1+D1,"M15,H1,D1",3,H1,D1,2229,64.6,79.22,2.54,2583588.0,3.55,4.26,86.12,35.8
M15+H4+H8,"M15,H4,H8",3,H4,H4,2512,67.19,80.45,3.04,3621345.0,2.66,4.97,120.71,40.5
